Model,Precision,Recall,F1-Score,ROC-AUC
logistic_regression,0.06451612903225806,0.8783783783783784,0.12020342117429496,0.967180437369194
random_forest,0.8854961832061069,0.7837837837837838,0.8315412186379928,0.9548036781725743
xgboost,0.7245508982035929,0.8175675675675675,0.7682539682539683,0.9750613530465808
